== basin_files/b74e (257 x 257, minority fraction 0.0742)
   delta(px)   N(delta)   local D0
          1          0
          2       3170
          4       1741      0.86
          8        684      1.35
         16        236      1.54
         32         64      1.88
         64         16      2.00
   overall D0 (fit over all delta): 1.54

== basin_files/b77e (257 x 257, minority fraction 0.0434)
   delta(px)   N(delta)   local D0
          1          0
          2       2059
          4       1296      0.67
          8        621      1.06
         16        226      1.46
         32         64      1.82
         64         16      2.00
   overall D0 (fit over all delta): 1.41

== basin_files/b74e_513z (513 x 513, minority fraction 0.0731)
   delta(px)   N(delta)   local D0
          1          0
          2       8812
          4       5212      0.76
          8       2063      1.34
         16        696      1.57
         32        232      1.58
         64         64      1.86
   overall D0 (fit over all delta): 1.44

== basin_files/b77e_513z (513 x 513, minority fraction 0.0434)
   delta(px)   N(delta)   local D0
          1          0
          2       5860
          4       3289      0.83
          8       1607      1.03
         16        659      1.29
         32        225      1.55
         64         64      1.81
   overall D0 (fit over all delta): 1.30

== basin_files/b74e_513zz (513 x 513, minority fraction 0.0745)
   delta(px)   N(delta)   local D0
          1          0
          2       8918
          4       5318      0.75
          8       2074      1.36
         16        709      1.55
         32        235      1.59
         64         64      1.88
   overall D0 (fit over all delta): 1.45

== basin_files/b77e_513zz (513 x 513, minority fraction 0.0431)
   delta(px)   N(delta)   local D0
          1          0
          2       5803
          4       3267      0.83
          8       1596      1.03
         16        660      1.27
         32        230      1.52
         64         64      1.85
   overall D0 (fit over all delta): 1.29

== basin_files/b74e_patch (513 x 513, minority fraction 0.0606)
   delta(px)   N(delta)   local D0
          1          0
          2        187
          4        141      0.41
          8         82      0.78
         16         43      0.93
         32         23      0.90
         64          9      1.35
   overall D0 (fit over all delta): 0.88

== basin_files//b74e_patch90 (513 x 513, minority fraction 0.0920)
   delta(px)   N(delta)   local D0
          1          0
          2       1075
          4        747      0.53
          8        362      1.05
         16        153      1.24
         32         68      1.17
         64         26      1.39
   overall D0 (fit over all delta): 1.10

== basin_files//b74e_patch90d (513 x 513, minority fraction 0.0194)
   delta(px)   N(delta)   local D0
          1          0
          2         46
          4         37      0.31
          8         23      0.69
         16         12      0.94
         32          6      1.00
         64          3      1.00
   overall D0 (fit over all delta): 0.81

